category_id,category_name,common_name,kingdom,supercategory
3708,Pericrocotus speciosus,Scarlet Minivet,Animalia,Birds
3727,Spiza americana,Dickcissel,Animalia,Birds
3763,Cyanocorax chrysops,Plush-crested Jay,Animalia,Birds
3777,Psilorhinus morio,Brown Jay,Animalia,Birds
3806,Acanthis cabaret,Lesser Redpoll,Animalia,Birds
3810,Carpodacus erythrinus,Common Rosefinch,Animalia,Birds
3830,Pinicola enucleator,Pine Grosbeak,Animalia,Birds
3859,Riparia riparia,Bank Swallow,Animalia,Birds
3861,Stelgidopteryx serripennis,Northern Rough-winged Swallow,Animalia,Birds
3864,Tachycineta bicolor,Tree Swallow,Animalia,Birds
3880,Icterus galbula,Baltimore Oriole,Animalia,Birds
3902,Sturnella magna,Eastern Meadowlark,Animalia,Birds
3911,Lanius ludovicianus,Loggerhead Shrike,Animalia,Birds
3956,Anthus cervinus,Red-throated Pipit,Animalia,Birds
3957,Anthus cinnamomeus,Grassveld Pipit,Animalia,Birds
3983,Luscinia svecica,Bluethroat,Animalia,Birds
4009,Cinnyris chalybeus,Southern Double-collared Sunbird,Animalia,Birds
4069,Setophaga chrysoparia,Golden-cheeked Warbler,Animalia,Birds
4070,Setophaga citrina,Hooded Warbler,Animalia,Birds
4081,Setophaga petechia,Yellow Warbler,Animalia,Birds
4089,Vermivora chrysoptera,Golden-winged Warbler,Animalia,Birds
4162,Prunella modularis,Dunnock,Animalia,Birds
4168,Hypsipetes leucocephalus,Black Bulbul,Animalia,Birds
4175,Pycnonotus leucotis,White-eared Bulbul,Animalia,Birds
4191,Acridotheres cristatellus,Crested Myna,Animalia,Birds
4200,Spodiopsar cineraceus,White-cheeked Starling,Animalia,Birds
4208,Sylvia melanocephala,Sardinian Warbler,Animalia,Birds
4283,Turdus leucomelas,Pale-breasted Thrush,Animalia,Birds
4286,Turdus olivaceus,Olive Thrush,Animalia,Birds
4303,Empidonax minimus,Least Flycatcher,Animalia,Birds
4310,Machetornis rixosa,Cattle Tyrant,Animalia,Birds
4356,Ardea cinerea,Grey Heron,Animalia,Birds
4361,Ardea melanocephala,Black-headed Heron,Animalia,Birds
4362,Ardea pacifica,White-necked Heron,Animalia,Birds
4394,Pelecanus onocrotalus,Great White Pelican,Animalia,Birds
4406,Platalea minor,Black-faced Spoonbill,Animalia,Birds
4410,Theristicus caudatus,Buff-necked Ibis,Animalia,Birds
4433,Dendrocopos leucotos,White-backed Woodpecker,Animalia,Birds
4446,Dryocopus martius,Black Woodpecker,Animalia,Birds
4455,Melanerpes lewis,Lewis's Woodpecker,Animalia,Birds
4502,Amazona albifrons,White-fronted Parrot,Animalia,Birds
4504,Amazona finschi,Lilac-crowned Parrot,Animalia,Birds
4542,Asio otus,Long-eared Owl,Animalia,Birds
4562,Tyto alba,Barn Owl,Animalia,Birds
4576,Phalacrocorax capensis,Cape Cormorant,Animalia,Birds
4585,Sula dactylatra,Masked Booby,Animalia,Birds
4588,Sula sula,Red-footed Booby,Animalia,Birds
4597,Triaenodon obesus,Whitetip Reef Shark,Animalia,Animalia
4615,Megaptera novaeangliae,Humpback Whale,Animalia,Mammals
4641,Tragelaphus oryx,Eland,Animalia,Mammals
4642,Tragelaphus scriptus,Bushbuck,Animalia,Mammals
4652,Dama dama,Fallow Deer,Animalia,Mammals
4672,Canis mesomelas,Black-backed Jackal,Animalia,Mammals
4691,Mephitis mephitis,Striped Skunk,Animalia,Mammals
4697,Meles meles,European Badger,Animalia,Mammals
4700,Mustela nivalis,Least Weasel,Animalia,Mammals
4715,Phoca vitulina,Harbor Seal,Animalia,Mammals
4721,Ursus arctos,Brown Bear,Animalia,Mammals
4744,Vombatus ursinus,Common Wombat,Animalia,Mammals
4749,Scalopus aquaticus,Eastern Mole,Animalia,Mammals
4764,Sylvilagus palustris,Marsh Rabbit,Animalia,Mammals
4767,Tachyglossus aculeatus,Short-beaked Echidna,Animalia,Mammals
4774,Choloepus hoffmanni,Hoffmann's Two-toed Sloth,Animalia,Mammals
4778,Alouatta seniculus,Colombian Red Howler Monkey,Animalia,Mammals
4840,Otospermophilus variegatus,Rock Squirrel,Animalia,Mammals
4946,Pantherophis alleghaniensis,Eastern Rat Snake,Animalia,Reptiles
4947,Pantherophis emoryi,Great Plains Ratsnake,Animalia,Reptiles
4953,Pituophis catenifer,Gopher Snake,Animalia,Reptiles
4959,Salvadora hexalepis,western patch-nosed snake,Animalia,Reptiles
4981,Basiliscus vittatus,Brown Basilisk,Animalia,Reptiles
4997,Pseudechis porphyriacus,Red-bellied Black Snake,Animalia,Reptiles
5001,Gehyra mutilata,Mutilating Gecko,Animalia,Reptiles
5037,Phrynosoma cornutum,Texas Horned Lizard,Animalia,Reptiles
5043,Phrynosoma solare,Regal Horned Lizard,Animalia,Reptiles
5048,Sceloporus graciosus,Sagebrush Lizard,Animalia,Reptiles
5055,Sceloporus orcutti,Granite Spiny Lizard,Animalia,Reptiles
5063,Sceloporus variabilis,Rose-bellied Lizard,Animalia,Reptiles
5064,Urosaurus nigricaudus,Small-scaled Lizard,Animalia,Reptiles
5065,Urosaurus ornatus,Ornate Tree Lizard,Animalia,Reptiles
5087,Gonatodes albogularis,White-throated Gecko,Animalia,Reptiles
5090,Aspidoscelis gularis,Common Spotted Whiptail,Animalia,Reptiles
5158,Kinosternon integrum,Mexican Mud Turtle,Animalia,Reptiles
5225,Dreissena polymorpha,Zebra Mussel,Animalia,Mollusks
5238,Argopecten gibbus,Atlantic Calico Scallop,Animalia,Mollusks
5243,Pyganodon grandis,Giant Floater Mussel,Animalia,Mollusks
5264,Fissurella volcano,Volcano Keyhole Limpet,Animalia,Mollusks
5269,Littorina obtusata,Flat Periwinkle,Animalia,Mollusks
5314,Pteraeolidia semperi,Blue Dragon,Animalia,Mollusks
5326,Polycera atra,Orange-spike Polycera,Animalia,Mollusks
5350,Helix lucorum,Turkish Snail,Animalia,Mollusks
5363,Polygyra cereolus,Southern Flatcoil,Animalia,Mollusks
5376,Diloma aethiops,Spotted Top Snail,Animalia,Mollusks
5387,Tonicella lineata,Lined Chiton,Animalia,Mollusks
5465,Hypomyces chrysospermus,bolete mould,Fungi,Fungi
5483,Leucocoprinus fragilissimus,Fragile Dapperling,Fungi,Fungi
5494,Amanita muscaria,Fly Agaric,Fungi,Fungi
5495,Amanita novinupta,Blushing Bride Amanita,Fungi,Fungi
5509,Chondrostereum purpureum,Silverleaf Fungus,Fungi,Fungi
5533,Favolaschia calocera,Orange pore fungus,Fungi,Fungi
5536,Mycena haematopus,Bleeding Fairy Helmet,Fungi,Fungi
5543,Crucibulum laeve,common bird's nest fungus,Fungi,Fungi
5559,Volvopluteus gloiocephalus,Stubble Rosegill,Fungi,Fungi
5582,Leratiomyces erythrocephalus,Scarlet Pouch,Fungi,Fungi
5589,Leucopaxillus gentianeus,bitter false funnelcap,Fungi,Fungi
5632,Ramaria stricta,Upright Coral Fungus,Fungi,Fungi
5636,Phellinus robiniae,Cracked Cap Polypore,Fungi,Fungi
5660,Laetiporus conifericola,Conifer Chicken of the Woods,Fungi,Fungi
5670,Phlebia incarnata,Coral-pink Merulius,Fungi,Fungi
5708,Lactifluus volemus,Fishy Milkcap,Fungi,Fungi
5728,Tremella mesenterica,witch's butter,Fungi,Fungi
5737,Leucobryum glaucum,pincushion moss,Plantae,Plants
5738,Funaria hygrometrica,Bonfire moss,Plantae,Plants
5749,Rhytidiadelphus triquetrus,Big Shaggy-moss,Plantae,Plants
5763,Sphagnum squarrosum,Crome Sphagnum,Plantae,Plants
5807,Symplocarpus foetidus,eastern skunk cabbage,Plantae,Plants
5822,Zostera marina,Eelgrass,Plantae,Plants
5872,Agave deserti,desert agave,Plantae,Plants
5876,Agave shawii,Shaw's Agave,Plantae,Plants
5878,Asparagus acutifolius,Spiny Asparagus,Plantae,Plants
5881,Asparagus officinalis,asparagus,Plantae,Plants
5887,Camassia quamash,small camas,Plantae,Plants
5901,Hyacinthoides non-scripta,bluebell,Plantae,Plants
5908,Maianthemum racemosum,false Solomon's seal,Plantae,Plants
5925,Ruscus aculeatus,butcher's-broom,Plantae,Plants
5960,Chasmanthe floribunda,African flag,Plantae,Plants
5968,Iris foetidissima,Stinking iris,Plantae,Plants
5984,Sisyrinchium angustifolium,narrow-leaved blue-eyed grass,Plantae,Plants
6001,Calypso bulbosa,Fairy-slipper,Plantae,Plants
6004,Cephalanthera longifolia,Narrow-leaved Helleborine,Plantae,Plants
6005,Cephalanthera rubra,Red Helleborine,Plantae,Plants
6010,Corallorhiza trifida,Yellow Coralroot,Plantae,Plants
6054,Neottia nidus-avis,bird's-nest orchid,Plantae,Plants
6057,Ophrys apifera,Bee Orchid,Plantae,Plants
6063,Ophrys sphegodes,Early Spider-orchid,Plantae,Plants
6101,Thelymitra longifolia,Common Sun Orchid,Plantae,Plants
6110,Tradescantia occidentalis,western spiderwort,Plantae,Plants
6113,Tradescantia spathacea,Moses-in-the-cradle,Plantae,Plants
6148,Calochortus venustus,Butterfly Mariposa Lily,Plantae,Plants
6243,Carex granularis,Limestone Meadow sedge,Plantae,Plants
6328,Arrhenatherum elatius,tall oat grass,Plantae,Plants
6339,Bouteloua hirsuta,hairy grama,Plantae,Plants
6341,Briza maxima,Big quaking grass,Plantae,Plants
6346,Bromus hordeaceus,soft brome,Plantae,Plants
6350,Calamagrostis canadensis,bluejoint,Plantae,Plants
6357,Cortaderia selloana,Pampas Grass,Plantae,Plants
6359,Cynosurus echinatus,bristly dogtail grass,Plantae,Plants
6367,Distichlis spicata,Seashore Saltgrass,Plantae,Plants
6369,Ehrharta erecta,panic veldtgrass,Plantae,Plants
6412,Phalaris arundinacea,reed canary grass,Plantae,Plants
6477,Selaginella lepidophylla,resurrection plant,Plantae,Plants
6525,Osmorhiza longistylis,aniseroot,Plantae,Plants
6529,Polytaenia texana,Texas Prairie Parsley,Plantae,Plants
6549,Aralia hispida,bristly sarsaparilla,Plantae,Plants
6598,Ageratina altissima,white snakeroot,Plantae,Plants
6607,Ambrosia dumosa,white bur-sage,Plantae,Plants
6633,Artemisia filifolia,sand sagebrush,Plantae,Plants
6656,Bidens bipinnata,Spanish needles,Plantae,Plants
6657,Bidens cernua,Nodding Bur-marigold,Plantae,Plants
6673,Carlina acaulis,Silver Thistle,Plantae,Plants
6690,Chaenactis fremontii,Fremont's pincushion,Plantae,Plants
6705,Cirsium discolor,field thistle,Plantae,Plants
6743,Dieteria canescens,Hoary Tansyaster,Plantae,Plants
6762,Engelmannia peristenia,Engelmann Daisy,Plantae,Plants
6773,Erigeron foliosus,Leafy Fleabane,Plantae,Plants
6778,Erigeron strigosus,daisy fleabane,Plantae,Plants
6782,Eriophyllum lanatum,common woolly sunflower,Plantae,Plants
6809,Geraea canescens,desert-sunflower,Plantae,Plants
6816,Hazardia squarrosa,saw-toothed goldenbush,Plantae,Plants
6827,Helianthus grosseserratus,sawtooth sunflower,Plantae,Plants
6848,Inula helenium,Elecampane,Plantae,Plants
6853,Iva frutescens,marsh elder,Plantae,Plants
6856,Jacobaea vulgaris,tansy ragwort,Plantae,Plants
6890,Matricaria chamomilla,German Chamomile,Plantae,Plants
6905,Olearia arborescens,Common tree daisy,Plantae,Plants
6918,Packera tampicana,Great Plains Ragwort,Plantae,Plants
6919,Palafoxia arida,Spanish needle,Plantae,Plants
6921,Pallenis spinosa,Spiny Starwort,Plantae,Plants
6953,Pseudognaphalium luteoalbum,Jersey Cudweed,Plantae,Plants
6956,Pulicaria dysenterica,Common Fleabane,Plantae,Plants
6969,Senecio ampullaceus,Texas ragwort,Plantae,Plants
6982,Senecio vernalis,Eastern Groundsel,Plantae,Plants
6998,Solidago gigantea,tall goldenrod,Plantae,Plants
7014,Sonchus oleraceus,Common Sow-thistle,Plantae,Plants
7023,Symphyotrichum laeve,smooth blue aster,Plantae,Plants
7043,Thelesperma filifolium,Greenthread,Plantae,Plants
7056,Tussilago farfara,colt's-foot,Plantae,Plants
7059,Urospermum picroides,False Hawkbit,Plantae,Plants
7061,Verbesina alternifolia,wingstem,Plantae,Plants
7078,Xylorhiza orcuttii,Orcutt's woody-aster,Plantae,Plants
7105,Lobelia inflata,Indian tobacco,Plantae,Plants
7133,Borago officinalis,Borage,Plantae,Plants
7154,Heliotropium indicum,Indian Heliotrope,Plantae,Plants
7172,Myosotis latifolia,broadleaf forget-me-not,Plantae,Plants
7184,Pentaglottis sempervirens,Green Alkanet,Plantae,Plants
7189,Phacelia congesta,Blue Curls,Plantae,Plants
7191,Phacelia distans,distant phacelia,Plantae,Plants
7228,Cardamine amara,large bittercress,Plantae,Plants
7251,Erysimum cheiranthoides,wormseed wallflower,Plantae,Plants
7264,Lunaria annua,Moneyplant,Plantae,Plants
7276,Sisymbrium officinale,Hedge mustard,Plantae,Plants
7313,Amaranthus palmeri,Palmer's amaranth,Plantae,Plants
7361,Echinocereus coccineus,scarlet hedgehog cactus,Plantae,Plants
7373,Escobaria missouriensis,Missouri Foxtail Cactus,Plantae,Plants
7383,Homalocephala polycephala,harem cactus,Plantae,Plants
7419,Stenocereus thurberi,organ pipe cactus,Plantae,Plants
7468,Viscaria vulgaris,Sticky Catchfly,Plantae,Plants
7476,Drosera cistiflora,Poppy-flowered Sundew,Plantae,Plants
7554,Persicaria perfoliata,mile-a-minute weed,Plantae,Plants
7599,Cornus mas,European Cornel,Plantae,Plants
7608,Hydrangea macrophylla,mophead hydrangea,Plantae,Plants
7625,Ecballium elaterium,squirting cucumber,Plantae,Plants
7637,Dipsacus laciniatus,cutleaf teasel,Plantae,Plants
7654,Lonicera tatarica,Tatarian honeysuckle,Plantae,Plants
7667,Valeriana officinalis,common valerian,Plantae,Plants
7681,Viburnum lantana,Wayfaring-tree,Plantae,Plants
7685,Viburnum opulus,cramp bark,Plantae,Plants
7703,Diospyros virginiana,American persimmon,Plantae,Plants
7720,Chimaphila maculata,spotted wintergreen,Plantae,Plants
7737,Erica plukenetii,Hangertjies,Plantae,Plants
7743,Gaultheria procumbens,Eastern Teaberry,Plantae,Plants
7745,Gaylussacia baccata,black huckleberry,Plantae,Plants
7771,Pyrola picta,white-veined wintergreen,Plantae,Plants
7780,Rhododendron lapponicum,Lapland Azalea,Plantae,Plants
7788,Vaccinium angustifolium,lowbush blueberry,Plantae,Plants
7790,Vaccinium corymbosum,Northern highbush blueberry,Plantae,Plants
7797,Vaccinium oxycoccos,small cranberry,Plantae,Plants
7812,Gilia tricolor,bird's-eye gilia,Plantae,Plants
7840,Polemonium pulcherrimum,Pretty Jacob's-ladder,Plantae,Plants
7851,Lysimachia clethroides,Gooseneck Loosestrife,Plantae,Plants
7858,Lysimachia quadriflora,narrow-leaved loosestrife,Plantae,Plants
7871,Primula parryi,Parry's primrose,Plantae,Plants
7930,Carmichaelia australis,New Zealand common broom,Plantae,Plants
7933,Ceratonia siliqua,carob tree,Plantae,Plants
7957,Erythrostemon gilliesii,yellow bird-of-paradise shrub,Plantae,Plants
7961,Genista monspessulana,French broom,Plantae,Plants
7962,Genista tinctoria,Dyer's Greenweed,Plantae,Plants
7982,Lathyrus ochroleucus,pale vetchling,Plantae,Plants
8007,Lupinus nanus,Sky Lupine,Plantae,Plants
8028,Mimosa nuttallii,Catclaw Brier,Plantae,Plants
8029,Mimosa pudica,Sensitive Plant,Plantae,Plants
8030,Mimosa quadrivalvis,Fourvalve Mimosa,Plantae,Plants
8046,Pithecellobium dulce,Blackbead,Plantae,Plants
8053,Psorothamnus schottii,indigo-bush,Plantae,Plants
8077,Spartium junceum,Spanish Broom,Plantae,Plants
8103,Ulex europaeus,gorse,Plantae,Plants
8114,Vicia gigantea,giant vetch,Plantae,Plants
8167,Quercus agrifolia,coast live oak,Plantae,Plants
8172,Quercus chrysolepis,canyon live oak,Plantae,Plants
8196,Quercus nigra,water oak,Plantae,Plants
8204,Quercus stellata,post oak,Plantae,Plants
8223,Myrica gale,bog myrtle,Plantae,Plants
8276,Matelea biflora,Star Milkvine,Plantae,Plants
8290,Centaurium pulchellum,Lesser Centaury,Plantae,Plants
8336,Galium album,Hedge Bedstraw,Plantae,Plants
8395,Avicennia germinans,black mangrove,Plantae,Plants
8415,Chilopsis linearis,desert willow,Plantae,Plants
8424,Agastache urticifolia,nettle-leaf giant hyssop,Plantae,Plants
